covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
oltv,0.009040384578183862,1.009081372276589,0.0005892655084938403,0.007885445404204255,0.01019532375216347,1.007916617409996,1.010247473141329,0.0,15.341784726703317,4.0198907572810623e-53,174.05503273311612
fico,0.003299066386622123,1.0033045142954906,9.760059788517328e-05,0.003107772729897607,0.003490360043346639,1.0031126068620653,1.0034964584431019,0.0,33.80170263407056,1.8618058714489667e-250,829.585321069405
spread,-0.09535586895724017,0.9090493744461983,0.018163336753637918,-0.13095535483344317,-0.05975638308103719,0.8772569387989321,0.9419939913070657,0.0,-5.24990921275197,1.5217419070123915e-07,22.647772970972866
cvr_itm,0.2538978574219109,1.2890401316609208,0.05270004879444043,0.15060765980130417,0.3571880550425176,1.162540457240722,1.4293046325254373,0.0,4.817791695264915,1.4515579369089677e-06,19.39396641305155
cvr_otm,-2.207293344477879,0.10999797257698667,0.1772897740763831,-2.554774916494833,-1.8598117724609253,0.07770972127541263,0.1557019350019958,0.0,-12.450201123990908,1.3949320320943005e-35,115.78728849244362
current_ltv,-0.00734481866496492,0.9926820885990197,0.0005471756799958277,-0.008417263290972955,-0.006272374038956884,0.9916180626841857,0.9937472562348347,0.0,-13.42314531417209,4.425250624686124e-41,134.0532927256376
