covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
oltv,-0.10145125178502049,0.9035252235105098,0.01621996508198605,-0.1332417991762104,-0.06966070439383057,0.875253430961475,0.9327102307076237,0.0,-6.254714561481554,3.9824360567077337e-10,31.22562975131921
fico,-0.009107686577419036,0.9909336627724531,0.0023024860390818244,-0.013620476288925695,-0.004594896865912378,0.986471862689208,0.9954156435225129,0.0,-3.95558818721479,7.634657809970225e-05,13.677076978439212
spread,0.34898523530494063,1.4176282593385099,0.31568773773892855,-0.2697513610242853,0.9677218316341666,0.7635693238309342,2.6319416180738355,0.0,1.105476056195597,0.26895336388140895,1.8945720616220214
cvr,-0.16245568912201408,0.8500537560191542,1.254769916004285,-2.621759533374761,2.296848155130733,0.07267487639173519,9.942794869403414,0.0,-0.12947050056741982,0.896985365601692,0.15684364725240724
current_ltv,0.12593873127348978,1.134212674387994,0.013584476243598752,0.09931364708719627,0.15256381545978331,1.1044126410494706,1.1648167930420685,0.0,9.270782988989684,1.8478439044883794e-20,65.55271900664911
